line_no,image file,doc_no,type,date,place,shelfmark,names_int,names_comp,image no.
1106,pyr_183,,,,,,"Caecilienverein, Luzern",,183
1107,pyr_184,115,Concert,18510422,"Luzern, Theater",BRb.27.2,"Maschek, Ernst","Dalayrac, Nicolas-Marie",184
1108,,,,,,,"Maschek, Ernst jun.","Bellini, Vincenzo",
1109,,,,,,,Maschek (Mme),"Maschek, Ernst",
1110,,,,,,,,"Paganini, Nicolò",
1111,pyr_185,116,Concert,18510427,"Luzern, Theater",BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Dalayrac, Nicolas-Marie",185
1112,,,,,,,"Maschek, Ernst","Bellini, Vincenzo",
1113,,,,,,,"Maschek, Ernst jun.","Maschek, Ernst",
1114,,,,,,,Maschek (Mme),"Paganini, Nicolò",
1115,pyr_186,117,Concert,18510701,"Luzern, Theater",BRb.27.2,"Steinweder, Ludovica",Bayer,186
1116,,,,,,,,"Bellini, Vincenzo",
1117,,,,,,,,"Proch, Heinrich",
1118,,,,,,,,"Schad, Joseph",
1119,,,,,,,,"Döhler, Theodor",
1120,,,,,,,,"Donizetti, Gaetano",
1121,,,,,,,,"Czerny, Carl",
1122,pyr_187,118,Concert,18511123,"Luzern, Theater",BRb.27.2,Herbort (Mme),"Greith, Carl",187
1123,,,,,,,Esser,,
1124,,,,,,,Gossler (Mlle),,
1125,,,,,,,"Herbort, Carl",,
1126,,,,,,,Erck,,
1127,,,,,,,Roschlau,,
1128,,,,,,,Heuberger,,
1129,,,,,,,Mayer (Mme),,
1130,,,,,,,Mutschlechner (Mme),,
1131,,,,,,,Mayer (Mlle),,
1132,,,,,,,Mayfahrt,,
1133,,,,,,,Linsi,,
1134,pyr_188,119,Concert,18511226,"Luzern, Theater",BRb.27.2,Heuberger,"Titl, Anton Emil",188
1135,,,,,,,Mayer (Mme),,
1136,,,,,,,Bort,,
1137,,,,,,,Kruse,,
1138,,,,,,,Czaschke,,
1139,,,,,,,Roschlau,,
1140,,,,,,,Linsi,,
1141,,,,,,,Charles,,
1142,,,,,,,Bannholzer,,
1143,,,,,,,Mutschlechner (Mme),,
1144,,,,,,,Carli (Mme),,
1145,,,,,,,Gossler (Mlle),,
1146,,,,,,,Charles (Mme),,
1147,,,,,,,Mayfahrt,,
1148,,,,,,,Mayer (Mlle),,
1149,,,,,,,Friedrich,,
1150,,,,,,,Becker,,
1151,,,,,,,Brand,,
1152,pyr_189,120,Concert,18520312,"Luzern, Theater",BRb.27.2,"Osthoff, Heinrich","Reissiger, Carl Gottlieb",189
1153,,,,,,,,"Proch, Heinrich",
1154,,,,,,,,"Gloggner, Karl",
1155,,,,,,,,Hauser,
1156,,,,,,,,"Osthoff, Heinrich",
1157,,,,,,,,"Hölzel, Gustav",
1158,,,,,,,,"Mendelssohn Bartholdy, Felix",
1159,,,,,,,,"Gumbert, Ferdinand",
1160,pyr_190,121,Concert,18520328,"Luzern, Marianischer Saal im Jesuitengymnasium",BRb.27.2,"Caecilienverein, Luzern","Spohr, Louis",190
1161,pyr_191,122,Concert,18520404,"Luzern, Theater",BRb.27.2,"Sängerverein Harmonie, Luzern","Verdi, Giuseppe",191
1162,,,,,,,"Blasmusikgesellschaft Frohsinn, Luzern","Nägeli, Hans Georg",
1163,,,,,,,,"Mendelssohn Bartholdy, Felix",
1164,,,,,,,,"Greith, Carl",
1165,,,,,,,,"Abt, Franz",
1166,,,,,,,,"Gungl, Joseph",
1167,,,,,,,,"Reissiger, Carl Gottlieb",
1168,,,,,,,,Lüer,
1169,pyr_192,123,Concert,18520509,"Luzern, Theater",BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Schnyder von Wartensee, Franz Xaver",192
1170,pyr_193,,,,,,,,193
1171,pyr_194,124,Concert,18520516,"Luzern, Theater",BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Schnyder von Wartensee, Franz Xaver",194
1172,,,,,,,,"Donizetti, Gaetano",
1173,pyr_195,125,Concert,18520527,"Luzern, Theater",BRb.27.2,"Milanollo, Teresa","Milanollo, Teresa",195
1174,,,,,,,,"Gumbert, Ferdinand",
1175,,,,,,,,"Léonard, Hubert",
1176,,,,,,,,"Concone, Giuseppe",
1177,pyr_196,126,Concert,18521017,"Luzern, Theater",BRb.27.2,"Vieuxtemps, Henri","Vieuxtemps, Henri",196
1178,,,,,,,"Eder Vieuxtemps, Josephine","Abt, Franz",
1179,,,,,,,,"Paganini, Nicolò",
1180,,,,,,,,"Bériot, Charles-Auguste de",
1181,,,,,,,,"Methfessel, Albert",
1182,pyr_197,127,Concert,18521226,"Luzern, Theater",BRb.27.2,"Sängerverein Harmonie, Luzern","Balfe, Michael William",197
1183,,,,,,,"Blasmusikgesellschaft Frohsinn, Luzern","Abt, Franz",
1184,,,,,,,,"Lumbye, Hans Christian",
1185,,,,,,,,"Verdi, Giuseppe",
1186,,,,,,,,"Otto, F.",
1187,,,,,,,,"Kreutzer, Conradin",
1188,,,,,,,,"Busch, Johann Georg",
1189,,,,,,,,"Marschner, Heinrich August",
1190,pyr_198,128,Concert,18531030,"Luzern, Theater",BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Beethoven, Ludwig van",198
1191,pyr_199,,,,,,"Rauch-Wernau, Rosa","Weber, Carl Maria von",199
1192,,,,,,,"Rauch-Wernau, Albrecht","Kreipel, Josef",
1193,,,,,,,,"Müller, A.",
1194,,,,,,,,"Cramolini, Ludwig",
1195,,,,,,,,"Titel, C.",
1196,,,,,,,,"Lachner, Ignaz",
1197,pyr_200,129,Concert,18530912,"Luzern, Theater",BRb.27.2,"Gesellschaft des Aktien-Theaters, Zürich","Donizetti, Gaetano",200
1198,,,,,,,Orth,,
1199,,,,,,,Pichon,,
