"Sarlatti"	"Scarlatti"
"Scarlati"	"Scarlatti"
"Violette de Saussure"	"Saussure, Violette de"
"Sauret, E."	"Sauret, Emile"
"Sauer, E."	"Sauer, Emil von"
"Sauer, Emil"	"Sauer, Emil von"
"Sauer, Emile"	"Sauer, Emil von"
"Domenico Natale Sarri"	"Sarri, Domenico Natale"
"Domenico Natale Sarro"	"Sarri, Domenico Natale"
"Pablo de Sarasate"	"Sarasate, Pablo de"
"Sarasate, Pablo De"	"Sarasate, Pablo de"
"Sarazate"	"Sarasate"
"Sapellnikoff, W."	"Sapel'nikov, Vasilij L. "
"Sapelnikov, Vasili"	"Sapel'nikov, Vasilij L. "
"Sapelnikov, Vassily"	"Sapel'nikov, Vasilij L. "
"Sanz, G."	"Sanz, Gaspar"
"Sandberger, Adolphe"	"Sandberger, Adolf"
"Eduardo Sánchez de Fuentes"	"Sánchez de Fuentes, Eduardo"
"P. San Sebastian"	"San Sebastian, P. "
"Giovanni Battista Sammartini"	"Sammartini, Giovanni Battista"
"Sammartini, Giovan-Battista"	"Sammartini, Giovanni Battista"
"Spýros Samáras"	"Samaras, Spyridon"
"Salomon, H."	"Salomon, Hector"
"Salomon, Hektor"	"Salomon, Hector"
"Salmon, J."	"Salmon, Joseph"
"Constance de Salm"	"Salm-Dyck, Constance Marie de Theis"
"Sali, F."	"Sali, Frédéric"
"Yuri Sergeevich Sakhnovsky"	"Sakhnovsky, Yuri Sergeevich"
"Eduardo Sainz"	"Sainz, Eduardo"
"Saintis, A."	"Saintis, Armand"
"St. Colombe, M. de"	"Sainte-Colombe, Jean de"
"Saint-Saëns"	"Saint-Saëns, Camille"
"Saint-Saëns, C."	"Saint-Saëns, Camille"
"Sait-Saëns, Camille"	"Saint-Saëns, Camille"
"St-Saëns"	"Saint-Saëns, Camille"
"Saint-Requier, Léon"	"Saint-Réquier, Léon"
"Georges de Saint-Quentin"	"Saint-Quentin, Georges de"
"Gabriel de Saint-Quentin"	"Saint-Quentin, Gabriel de"
"Léon de Saint-Lubin"	"Saint-Lubin, Napoléon-Antoine-Eugène-Léon de"
"L. A. Saint-Jacome"	"Saint-Jacome, L. A. "
