"Société de Zofingue"	"Zofingue, Genève"
"Rybicki-Varga, Suzanne"	"Rybicki-Varga, Susan"
"Rybicki, Suzanne"	"Rybicki-Varga, Susan"
"Rusiecki, Stephan"	"Rusiecki, Stefan"
"Roulet, Bretrand"	"Roulet, Bertrand"
"Rouilly, J.-L. (Mme)"	"Rouilly, Jean-Louise"
"Rostand, Odile"	"Rostan, Odile"
"Romano, Carrado"	"Romano, Corrado"
"Roesgen, Marguerite"	"Roesgen-Liodet, Marguerite"
"Roesgen-Liodet, C."	"Roesgen-Liodet, Cécile"
"Roesgen, Cécile"	"Roesgen-Liodet, Cécile"
"Rochat, M.-L."	"Rochat, Marie-Louise"
"Robert, H. (Mlle)"	"Robert, Hélène"
"Von Ritter, Nicolas"	"Ritter, Nicolas von"
"Rigo, J."	"Rigò, J."
"Richter, C.-H."	"Richter, Ch.-Henri"
"Richli, Édouard"	"Richli, Edouard"
"Richard, M."	"Richard, Marjorie"
"Ribaupierre, Ch. de"	"Ribaupierre, Charles de"
"Reymond, Eug."	"Reymond, Eugène"
"Rey, E."	"Rey, Emile"
"Rey, Émile"	"Rey, Emile"
"Réveille-Chor"	"Réveille-Chor, Basel"
"Renard, P."	"Renard, Pierre"
"Société La Renaissance"	"Renaissance, Genève"
"Reichel, B."	"Reichel, Bernard"
"Rehfuss, C."	"Rehfuss, Carl"
"Rehbld, F.-H."	"Rehbold, F.-H."
"Rehberg, W."	"Rehberg, Willy"
"Rehberg, A."	"Rehberg, Adolf"
"Rehberg, Ad."	"Rehberg, Adolf"
"Regamey, C."	"Regamey, Cyril"
"Raymond, C."	"Raymond, Charles"
"Rapin, F."	"Rapin, Frédéric"
"Rapin, Frédric"	"Rapin, Frédéric"
"Quatuor Vocal"	"Quatuor vocal, Genève"
"Sine Nomine"	"Quatuor Sine Nomine"
"Suatuor Martinu"	"Quatuor Martinu"
"Quatuor du Conservatoire"	"Quatuor du Conservatoire de Lausanne"
"Le Quatuor de Lausanne"	"Quatuor de Lausanne"
"Provesi, Luiggi"	"Provesi, Luigi"
"Prod'hom, J. (Mlle)"	"Prod'hom, Jeanne"
"Prod'Hom-Defrancesco, Marinette"	"Prod'hom-Defrancesco, Marinette"
"Prieur, J. (Mlle)"	"Prieur, Jane"
"Prevet, A."	"Prevet, Albert"
"Pregowsky, Z."	"Pregowsky, Zdzislaw"
"Poulin, R."	"Poulin, René"
"Poulin, René P."	"Poulin, René"
"Pötter ?"	"Pötter"
"Potel-Bernard, J.(Mme)"	"Potel-Bernard, J. (Mme)"
"Popowitzky, Zina"	"Popovitzky, Zina"
"Popovitzy (Mme)"	"Popovitzky (Mme)"
"Popowitzky"	"Popovitzky"
"Popov, Georges"	"Popov, Georgi"
"Popov, Gueorgui"	"Popov, Georgi"
"Pollatos, M."	"Pollatos, Marika"
"Pollak, R."	"Pollak, Robert"
"Pochon, Ant."	"Pochon, Antony"
"Plumb (Mlle), J."	"Plumb, J. (Mlle)"
"Pitoëff, L."	"Pitoëff, Ludmilla"
"Pitoeff, G."	"Pitoëff, Georges"
"Pitoëff, G."	"Pitoëff, Georges"
"Pillonel Bacchetta, catherine"	"Pillonel Bacchetta, Catherine"
"Pillonel Bachetta, Catherine"	"Pillonel Bacchetta, Catherine"
"Pillonell, Catherine"	"Pillonel Bacchetta, Catherine"
"Pileur, G."	"Pileur, Georges"
"Pileur, George"	"Pileur, Georges"
"Piguet, R. (Mlle)"	"Piguet, Renée"
"Piguet, Claire Anne"	"Piguet, Claire-Anne"
"Pignolo, R."	"Pignolo, René"
"Pieyre, A."	"Pieyre, Auguste"
"Picand, Marjolaine"	"Piccand, Marjolaine"
"Philippi, M."	"Philippi, Maria"
"Philharmonique Italienne"	"Philharmonique italienne, Genève"
"Petit-Choeur"	"Petit-Choeur, Genève"
"Peter, Alf."	"Peter, Alfred"
"Péter, Alfred"	"Peter, Alfred"
"Perrottet, J. (Mlle)"	"Perrottet, Jeanne"
"Pépin, A."	"Pépin, André"
"Pepin, André"	"Pépin, André"
"Pépin, Anré"	"Pépin, André"
"Penay, A."	"Penay, Alfred"
"Peluchi (Mme)"	"Pelucchi (Mme)"
"Paychère, A."	"Paychère, Albert"
"Van Parys, Paule"	"Parys, Paule van"
"Parès, G."	"Parès, Gabriël"
"Panzera, Ch."	"Panzera, Charles"
"Panthès, M."	"Panthès, Marie"
"Pahnke, Valdémar"	"Pahnke, Woldemar"
"Pahnke, W."	"Pahnke, Woldemar"
"Pahnke, Woldémar"	"Pahnke, Woldemar"
"P.R. (Mlle)"	"P. R. (Mlle)"
