"BMU DG3-4 F000746"	"bmu_dg3_4_f000746"	"1929-1930?"	"1930.04.29"	"4 p. ; 23 cm"	"Genève, La Comédie"	"Représentations de la compagnie Pitoëff : Les criminels"	"Bruckner, Ferdinand ; Steinhof (Mme) ; Mauprey, André"	"Berthier, Lise ; Frère, André ; Gaultier, Henry ; Casalis, Eve ; Riveyre, Jean ; Pitoëff ; Salou, Louis ; Melly ; Gérard, Christian ; Dagand, Raymond ; Pitoëff, Ludmilla ; Raymone ; Reichen, Alice ; Valbert-Hey ; de Nobert ; Lemerre, X. ; Léonard ; Penay, Alfred ; Hort, Jean ; Gaultier, Henry ; Géralde ; Guireck"		"Date incertaine"
"BMU VH1 F002886"	"bmu_vh1_f002886"	"1932-1933"	"1933.03.00"	"4 p. : ill. ; 14x22 cm"	"Genève, Victoria Hall"	"Marek Weber et ses 15 solistes : seul et unique concert"	"Mohr, Gerh. ; Rachmaninov, Sergej Vasil'evič {RISM:32447} ; Strauß, Johann {RISM:132082} ; Heymann, W. R. ; Dostal ; Valerio, Lesso ; Spolianski ; Gray, Allan ; Kálmán, Emmerich {RISM:3345} ; Makaroff ; Abraham, P. ; Stolz ; Dvořák, Antonín {RISM:26196} ; Erwin, Ralph ; Brahms, Johannes {RISM:39914} ; Straus, Oscar Nathan {RISM:132037} ; Benedict"	"Weber, Marek"		"Date incertaine"
"BMU DG3-4 F000747"	"bmu_dg3_4_f000747"	"1940?"	"1940.00.00"	"1 broch. : ill. ; 21 cm + 1 erratum"	"Genève, Théâtre des Mathurins"	"Le pain dur : Tournées en Suisse"	"Claudel, Paul {RISM:30114682}"	"Leclair, Jean ; Pitoëff, Elisabeth ; Pitoëff, Ludmilla ; Pitoëff, Sacha ; Nello, Jean ; François, Michel"		"Date incertaine"
"BMU VH1 F001148"	"bmu_vh1_f001148"	"1912-1913"	"1912.11.00"	"4 p. : ill. ; 25 cm"	"Genève, Victoria Hall"	"Yvette Guilbert dans les grandes et petites chansons de France en costumes des époques"	"Händel, Georg Friedrich {RISM:36552} ; Ciarlone, Virginia ; Gluck, Christoph Willibald {RISM:67338} ; Mozart, Wolfgang Amadeus {RISM:115324} ; Offenbach, Jacques {RISM:111831} ; Grisar, Ch. ; Audran, Edmond {RISM:325213}"	"Guilbert, Yvette ; Chalot, Hélène ; Fleury, Louis ; Luzzatti, Arturo ; Bechstein, C."		"Date incertaine"
"BMU DG4 F003099"	"bmu_dg4_f003099"	"1933-1934"	"1912.11.00"	"24 p. : ill. ; 23 cm"	"Genève, Théâtre du Parc"	"Le monde où l'on s'ennuie"	"Pailleron, E."	"Féart, Rose ; Assilva, Carmen d' ; Lerzinska, Séverine; Ravennes, Violette ; Chasalle, Claire ; Tournier, Germaine ; Romane, Alice ; Verville, Mara ; Parmelin, Marcel ; Gerval, Charly ; Chasalle, Eric ; Allain, Claude ; Brimel, Pierre ; Horis, Georges ; Vaidaux, Jean"		"Date incertaine"
"BMU DG3-3 F000717"	"bmu_dg3_3_f000717"	"1871-1872"	"1872.02.17"	"1 p. ; 29 cm"	"Genève, Conservatoire"	"Grand concert vocal et instrumental donné par Jules Huber"	"Schubert, Franz {RISM:111603} ; Verdi, Giuseppe {RISM:137994} ; Liszt, Franz {RISM:107196} ; Battanchon ; Beethoven, Ludwig van {RISM:11035} ; David, Félicien {RISM:3813} ; Lotti ; Bach, Johann Sebastian {RISM:2539} ; Adler, Vincent {RISM:30006258} "	"Huber, Jules ; Nossek ; Battanchon ; Constantin"	"Concert vocal et instrumental"	"Date présumée"
"BMU DG3-3 F000719"	"bmu_dg3_3_f000719"	"1871-1872"	"1872.04.13"	"1 p. ; 28 cm"	"Genève, Conservatoire"	"Grand concert donné par les dames françaises pour la Libération du territoire"	"Meyerbeer, Giacomo {RISM:725} ; Verdi, Giuseppe {RISM:137994} ; Flotow, Friedrich von {RISM:63626} ; Talberg ; Boieldieu ; Battanchon, F. ; Beethoven, Ludwig van {RISM:11035} ; Massé, Victor {RISM:84236} ; Bellini, Vincenzo {RISM:11648} ; Gounod, Charles-François {RISM:80479}  "	"Dames françaises pour la Libération du territoire ; Garin ; Battanchon"		"Date présumée"
"BMU DG4 F001312"	"bmu_dg4_f001312"	"1873-1874"	"1874.07.11"	"1 p. ; 23 cm"	"Genève, Cirque de Plainpalais"	"Spectacle-Concert"	"Offenbach, Jacques {RISM:111831}"	"Bouzer ; Laborie (Mme) ; Jhan ; Estelle (Mlle) ; Bourotte ; Aimée (Mlle) ; Enaux ; Panier"		"Date présumée"
"BMU VG2-1 F000898"	"bmu_vg2_1_f000898"	"1874-1875"	"1875.07.12"	"1 p. ; 20 cm"	"Genève, Jardin anglais"	"Concert d'été"	"Faust ; Rossini, Gioachino {RISM:63766} ; Joeger, H. ; Brahms, Johannes {RISM:39914} ; Weber, Carl Maria von {RISM:117485} ; Strauss, Eduard {RISM:132056} ; Mendelssohn Bartholdy, Felix {RISM:88790}"	"Orchestre de la Ville de Genève"		"Date présumée"
"BMU DG4 F001336"	"bmu_dg4_f001336"	"1875-1876"	"1876.01.22"	"1 p. ; 25 cm"	"Genève, Salle des amis de l'Instruction"	"Programme de la soirée de [messieurs]"	"Faust ; Verdi, Giuseppe {RISM:137994} ; Carcassone ; Singelee ; Toussaint-Samson (Mme) ; Auber, Daniel-François-Esprit {RISM:38000} ; Halévy, Fromental {RISM:40914} ; Augier, Émile {RISM:30055479}"	"S. H. ; Chapuy (Mme) ; Meyer ; Thorel"		"Date présumée"
