"line_no","images","doc_no","type","date","place","#no longer used#","names_int","names_comp"
8899,"CH_BM_prg-3768",,,,,,,
8900,"CH_BM_prg-3769",,,,,,,
8901,"CH_BM_prg-3770",,,,,,,
8902,"CH_BM_prg-3771",,,,,,,
8903,"CH_BM_prg-3772","505","Concert","20191204","Basel, Grosser Saal der Musik-Akademie",,"Ensemble Sonorità","Rossi, Salamone"
8904,"CH_BM_prg-3773",,,,,,"Sobbe, Lea","Turini, Francesco"
8905,"CH_BM_prg-3774",,,,,,"Kwon, Hojin","Hotteterre, Jacques"
8906,"CH_BM_prg-3775",,,,,,"Maskulrat, Ekachai","Bach, Johann Sebastian"
8907,"CH_BM_prg-3776",,,,,,"Flores, Melanie","Geoffroy, Jean-Nicolas"
8908,"CH_BM_prg-3777",,,,,,,"Telemann, Georg Philipp"
8909,"CH_BM_prg-3778",,,,,,,"Monteverdi, Claudio"
8910,"CH_BM_prg-3779",,,,,,,
8911,"CH_BM_prg-3780","506","Concert","20200120","Basel, Grosser Saal der Musik-Akademie",,"Ensemble El gran teatro del mundo","Fischer, Johann Caspar Ferdinand"
8912,"CH_BM_prg-3781",,,,,,"Ormond, Coline","Muffat, Georg"
8913,"CH_BM_prg-3782",,,,,,"Hamberger, Lukas","Telemann, Georg Philipp"
8914,"CH_BM_prg-3783",,,,,,"Bartz, Johanna",
8915,,,,,,,"Jorde Hompanera, Miriam",
8916,,,,,,,"Hurtado Gosalvez, Bruno",
8917,,,,,,,"Nordberg, Jonas",
8918,,,,,,,"Caballero Pérez, Julio",
8919,"CH_BM_prg-3784","507","Season","20190926","Basel, Martinskirche",,"Blažíková, Hana","Cazzati, Maurizio"
8920,"CH_BM_prg-3785",,,,,,"Dickey, Bruce","Corradini, Nicolò"
8921,"CH_BM_prg-3786",,,,,,"Skuplik, Veronika","Marini, Biagio"
8922,"CH_BM_prg-3787",,,,,,"Aglibut, Catherine","D'India, Sigismondo"
8923,"CH_BM_prg-3788",,,,,,"Velden, Mieneke van der","Palestrina, Giovanni Pierluigi da"
8924,"CH_BM_prg-3789",,,,,,"Verhelst, Kris","Carissimi, Giacomo"
8925,"CH_BM_prg-3790",,,,,,"Lindberg, Jakob",
8926,"CH_BM_prg-3791",,,"20191109","Basel, Peterskirche",,"Ensemble Café Zimmermann","Geminiani, Francesco"
8927,"CH_BM_prg-3792",,,,,,"Frisch, Céline","Händel, Georg Friedrich"
8928,"CH_BM_prg-3793",,,,,,"Valetti, Pablo","Avison, Charles"
8929,"CH_BM_prg-3794",,,,,,"Ferreira, Mauro Lopes",
8930,"CH_BM_prg-3795",,,,,,"Pupulin, Margherita",
8931,"CH_BM_prg-3796",,,,,,"Ferguson, Lisa",
8932,"CH_BM_prg-3797",,,,,,"Geest, Catherine van de",
8933,"CH_BM_prg-3798",,,,,,"Biely, Peter",
8934,"CH_BM_prg-3799",,,,,,"Moral, Guadalupe del",
8935,"CH_BM_prg-3800",,,,,,"Gagnon, Patricia",
8936,"CH_BM_prg-3801",,,,,,"Uzzeni, Lucie",
8937,"CH_BM_prg-3802",,,,,,"Mangot, Étienne",
8938,"CH_BM_prg-3803",,,,,,"Nava, Davide",
8939,"CH_BM_prg-3804",,,,,,"Cristóbal, Carles",
8940,"CH_BM_prg-3805",,,"20191204","Basel, Grosser Saal der Musik-Akademie",,"Ensemble Sonorità","Rossi, Salamone"
8941,"CH_BM_prg-3806",,,,,,"Sobbe, Lea","Turini, Francesco"
8942,"CH_BM_prg-3807",,,,,,"Kwon, Hojin","Hotteterre, Jacques"
8943,"CH_BM_prg-3808",,,,,,"Maskulrat, Ekachai","Bach, Johann Sebastian"
8944,"CH_BM_prg-3809",,,,,,"Flores, Melanie","Monteverdi, Claudio"
8945,"CH_BM_prg-3810",,,"20200120","Basel, Grosser Saal der Musik-Akademie",,"Ensemble El gran teatro del mundo","Fischer, Johann Caspar Ferdinand"
8946,"CH_BM_prg-3811",,,,,,"Ormond, Coline","Muffat, Georg"
8947,"CH_BM_prg-3812",,,,,,"Hamberger, Lukas","Telemann, Georg Philipp"
8948,"CH_BM_prg-3813",,,,,,"Bartz, Johanna","Kusser, Johann Sigismund"
8949,,,,,,,"Jorde Hompanera, Miriam",
8950,,,,,,,"Hurtado Gosalvez, Bruno",
8951,,,,,,,"Duncumb, Jadran",
8952,,,,,,,"Caballero Pérez, Julio",
8953,,,,"20200115","Basel, Martinskirche",,"Ensemble Vox Luminis","Bach, Johann Sebastian"
8954,,,,,,,"Meunier, Lionel",
8955,,,,,,,"Suni, Tuomo",
8956,,,,,,,"Frisch, Johannes",
8957,,,,,,,"Velden, Mieneke van der",
8958,,,,,,,"Rodríguez Miranda, Ricardo",
8959,,,,,,,"Aghassi, Benny",
8960,,,,,,,"Moisio, Jasu",
8961,,,,,,,"Jacobs, Bart",
8962,,,,,,,"Tóth, Zsuzsi",
8963,,,,,,,"True, Stefanie",
8964,,,,,,,"Chance, Alexander",
8965,,,,,,,"König, Dina",
8966,,,,,,,"Froeliger, Philippe",
8967,,,,,,,"Myrus, Sebastian",
8968,,,,"20200221","Basel, Martinskirche",,"Baráth, Emőke","Strozzi, Barbara"
8969,,,,,,,"Ensemble Il pomo d'oro","Marini, Biagio"
8970,,,,,,,"Corti, Francesco","Cesti, Antonio"
8971,,,,,,,"Rossi, Stefano","Merula, Tarquinio"
8972,,,,,,,"Vithanage, Lathika","Cavalli, Francesco"
8973,,,,,,,"Prada, Rodney",
8974,,,,,,,"Knecht, Felix",
8975,,,,,,,"Coelati Rama, Riccardo",
8976,,,,,,,"Geremia, Gianluca",
8977,,,,,,,"Pasotti, Michele",
8978,,,,,,,"Buccarella, Andrea",
8979,,,,,,,"Rincón, Miguel",
8980,,,,"20200423","Basel, Peterskirche",,"Ensemble L'Achéron","Coprario, John"
8981,,,,,,,"Joubert-Caillet, François","Lawes, William"
8982,,,,,,,"Linos, Andreas","Monteverdi, Claudio"
8983,,,,,,,"Loye, Marie-Suzanne de","Simpson, Christopher"
8984,,,,,,,"Piloz, Aude-Marie","Ferrabosco, Alfonso"
8985,,,,,,,"Chemin, Amélie","Jenkins, John"
8986,,,,,,,"Oudenhove, Sarah van","Dering, Richard"
8987,,,,,,,"Moulin, Yoann","White, William"
8988,,,,,,,"Grisvard, Philippe","Ward, John"
8989,,,,,,,,"Lupo, Thomas"
8990,,,,,,,,"Coprario, John"
8991,,,,"20200507","Basel, Peterskirche",,"Ensemble Dialogos","Anonymus"
8992,,,,,,,"Livljanić, Katarina",
8993,,,,,,,"Boiron, Christel",
8994,,,,,,,"Coutouly, Clara",
8995,,,,,,,"Gesret, Caroline",
8996,"CH_BM_prg-3814","508","Season","20201202","Basel, Grosser Saal der Musik-Akademie",,"Ensemble Musica Amici","Fiorenza, Nicola"
8997,"CH_BM_prg-3815",,,,,,"Sakanaga, Tamami","Matteis, Nicola"
8998,"CH_BM_prg-3816",,,,,,"Dumas, Naomi","Boccherini, Luigi"
8999,"CH_BM_prg-3817",,,,,,"Gómez Yunta, Sara",
9000,"CH_BM_prg-3818",,,,,,"Spitz, Léo",
9001,"CH_BM_prg-3819",,,,,,"Kamimura, Ayano",
9002,"CH_BM_prg-3820",,,,,,"Lee, Han-Na",
9003,"CH_BM_prg-3821",,,"20210113","Basel, Predigerkirche",,"Ensemble Rumorum",
9004,"CH_BM_prg-3822",,,,,,"Newcombe, Grace",
9005,"CH_BM_prg-3823",,,,,,"Mariani, Jacob",
9006,"CH_BM_prg-3824",,,,,,"Deger, Matthias",
9007,"CH_BM_prg-3825",,,,,,"Verry, Félix",
9008,"CH_BM_prg-3826",,,,,,"Winter, Mara",
9009,"CH_BM_prg-3827",,,"20210120","Basel, Hans Huber-Saal des Stadtcasinos Basel",,"Saladin, Eva","Matteis, Nicola"
9010,"CH_BM_prg-3828",,,,,,"Rosin, Daniel","Cailò, Giovanni Carlo"
9011,"CH_BM_prg-3829",,,,,,"Keller, Johannes","Piani, Giovanni Antonio"
9012,"CH_BM_prg-3830",,,,,,,"Scarlatti, Alessandro"
9013,"CH_BM_prg-3831",,,"20210304","Basel, Peterskirche",,"Ensemble La Reverdie","Landini, Francesco"
9014,"CH_BM_prg-3832",,,,,,"Caffagni, Claudia",
9015,"CH_BM_prg-3833",,,,,,"Caffagni, Livia",
9016,"CH_BM_prg-3834",,,,,,"De Mircovich, Elisabetta",
9017,"CH_BM_prg-3835",,,,,,"Zenatti, Matteo",
9018,"CH_BM_prg-3836",,,,,,"Tommasi, Teodora",
9019,"CH_BM_prg-3837",,,,,,"Deslignes, Christophe",
9020,"CH_BM_prg-3838",,,"20210423","Basel, Hans Huber-Saal des Stadtcasinos Basel",,"Ensemble Aux pieds du roy","Bach, Johann Sebastian"
9021,"CH_BM_prg-3839",,,,,,"Form, Michael",
9022,"CH_BM_prg-3840",,,,,,"Roquié, Marie",
9023,"CH_BM_prg-3841",,,,,,"Quintana, Juan Manuel",
9024,"CH_BM_prg-3842",,,,,,"Börner, Dirk",
9025,,,,"20210506","Basel, Peterskirche",,"Luks, Václav","Caldara, Antonio"
9026,,,,,,,,"Lotti, Antonio"
9027,,,,"20210524","Münchenstein, Saal des Kuspo",,"Compagnia La baldracca","Pergolesi, Giovanni Battista"
9028,,,,"20210525",,,"Landsberg, Julia von",
9029,,,,,,,"Henschel, Dietrich",
9030,,,,,,,"Schvarzstein, Adrian",
9031,,,,,,,"Höft, Thomas",
9032,,,,,,,"Cano, Didac",
9033,,,,,,,"Hell, Michael",
9034,,,,"20210603","Basel, Martinskirche",,"Capricornus Consort Basel","Mozart, Wolfgang Amadeus"
9035,,,,,,,"Hofbauer, Ulrike","Haydn, Joseph"
9036,,,,,,,"Jans, Jessica","Hiller, Johann Adam"
9037,"CH_BM_prg-3843","509","Concert","20210120","Basel, Hans Huber-Saal des Stadtcasinos Basel",,"Saladin, Eva","Matteis, Nicola"
9038,"CH_BM_prg-3844",,,,,,"Rosin, Daniel","Cailò, Giovanni Carlo"
9039,"CH_BM_prg-3845",,,,,,"Keller, Johannes","Piani, Giovanni Antonio"
9040,"CH_BM_prg-3846",,,,,,,"Scarlatti, Alessandro"
9041,"CH_BM_prg-3847",,,,,,,"Mascitti, Michele"
9042,"CH_BM_prg-3848",,,,,,,"Lonati, Carlo Ambrogio"
9043,"CH_BM_prg-3849",,,,,,,
9044,"CH_BM_prg-3850",,,,,,,
9045,"CH_BM_prg-3851","510","Concert","20210304","Basel, Peterskirche",,"Ensemble La Reverdie","Landini, Francesco"
9046,"CH_BM_prg-3852",,,,,,"Caffagni, Claudia",
9047,"CH_BM_prg-3853",,,,,,"Caffagni, Livia",
9048,"CH_BM_prg-3854",,,,,,"De Mircovich, Elisabetta",
9049,"CH_BM_prg-3855",,,,,,"Zenatti, Matteo",
9050,"CH_BM_prg-3856",,,,,,"Tommasi, Teodora",
9051,"CH_BM_prg-3857",,,,,,"Deslignes, Christophe",
9052,"CH_BM_prg-3858",,,,,,,
9053,"CH_BM_prg-3859",,,,,,,
9054,"CH_BM_prg-3860",,,,,,,
9055,"CH_BM_prg-3861",,,,,,,
9056,"CH_BM_prg-3862",,,,,,,
9057,"CH_BM_prg-3863",,,,,,,
9058,"CH_BM_prg-3864",,,,,,,
9059,"CH_BM_prg-3865",,,,,,,
9060,"CH_BM_prg-3866",,,,,,,
9061,"CH_BM_prg-3867",,,,,,,
9062,"CH_BM_prg-3868",,,,,,,
9063,"CH_BM_prg-3869",,,,,,,
9064,"CH_BM_prg-3870",,,,,,,
9065,"CH_BM_prg-3871","511","Concert","20201202","Basel, Grosser Saal der Musik-Akademie",,"Ensemble Musica Amici","Fiorenza, Nicola"
9066,"CH_BM_prg-3872",,,,,,"Sakanaga, Tamami","Matteis, Nicola"
9067,"CH_BM_prg-3873",,,,,,"Dumas, Naomi","Boccherini, Luigi"
9068,"CH_BM_prg-3874",,,,,,"Gómez Yunta, Sara",
9069,,,,,,,"Spitz, Léo",
9070,,,,,,,"Kamimura, Ayano",
9071,,,,,,,"Lee, Han-Na",
