"line_no","images","doc_no","type","date","place","#no longer used#","names_int","names_comp"
8274,,,,,,,"Santos, Hiram",
8275,,,,,,,"De Nardo, Giulio",
8276,"CH_Bm_prg-3207","479","Concert","20161213","Basel, Leonhardskirche","Ensemble Concerto di Margherita","Vogrin, Tanja","Frescobaldi, Girolamo"
8277,"CH_Bm_prg-3208",,,,,,"Baviera, Giovanna","Monteverdi, Claudio"
8278,"CH_Bm_prg-3209",,,,,,"Benetti, Francesca","Gabrieli, Giovanni"
8279,"CH_Bm_prg-3210",,,,,,"Staehelin, Rui","Macque, Giovanni de"
8280,"CH_Bm_prg-3211",,,,,,"Leitão Pedro, Ricardo","Kapsperger, Giovanni Girolamo"
8281,"CH_Bm_prg-3212",,,,,,"Ensemble Concerto di Margherita","Luzzaschi, Luzzasco"
8282,"CH_Bm_prg-3213",,,,,,,"Gabrieli, Andrea"
8283,"CH_Bm_prg-3214",,,,,,,"Marenzio, Luca"
8284,"CH_Bm_prg-3215",,,,,,,"Baviera, Giovanna"
8285,"CH_Bm_prg-3216",,,,,,,"Wert, Giaches de"
8286,"CH_Bm_prg-3217",,,,,,,"Agostini, Lodovico"
8287,"CH_Bm_prg-3218","480","Concert","20170131","Basel, Leonhardskirche",,"Sato, Yukie","Paolo da Firenze"
8288,"CH_Bm_prg-3219",,,,,,"Devillers, Perrine","Donato da Firenze"
8289,"CH_Bm_prg-3220",,,,,,"Simon, Vivien","Landini, Francesco"
8290,"CH_Bm_prg-3221",,,,,,"Danilevskaia, Sophia","Lorenzo da Firenze"
8291,"CH_Bm_prg-3222",,,,,,"Kibildis, Vincent","Giovanni da Cascia"
8292,"CH_Bm_prg-3223",,,,,,"Danilevskaia, Anna",
8293,"CH_Bm_prg-3224",,,,,,"Bartz, Johanna",
8294,"CH_Bm_prg-3225",,,,,,"Helou, Roger",
8295,"CH_Bm_prg-3226",,,,,,"Sollazzo ensemble",
8296,"CH_Bm_prg-3227",,,,,,,
8297,"CH_Bm_prg-3228",,,,,,,
8298,"CH_BM_prg-3229","481","Concert","20180127","Basel, Leonhardskirche",,"Dunoyer, Béatrice","Senfl, Ludwig"
