"Bertholet, Alfred","Bertholet, Alfred"
"Bertholet, Edith","Bertholet, Edith"
"Berthomieu, M.","Berthomieu, Marc"
"Berti, Christine","Berti, Christine"
Bertini,"Bertini, Henry"
"Bertini, H.","Bertini, Henry"
"Bertrand, A. de","Bertrand, Antoine de"
"Besançon, A.","Besançon, A."
"Besançon, T.","Besançon, Thierry"
"Besançon, Thierry","Besançon, Thierry"
"Besaçon, Thierry","Besançon, Thierry"
"Besencon, André","Besencon, André"
"Besson, Virgine","Besson, Virgine"
"Bettens, Etienne","Bettens, Etienne"
"Bevin, E.","Bevin, Elway"
Beydts,"Beydts, Louis"
"Beydts, L.","Beydts, Louis"
"Bezzi, Eliane","Bezzi, Eliane"
"Bianchi, Marco","Bianchi, Marco"
"Biano, Alberto","Biano, Alberto"
Biber,"Biber, Heinrich Ignaz Franz von"
"Biber, Heinrich Ignaz Franz","Biber, Heinrich Ignaz Franz von"
"Bichsel, François","Bichsel, François"
"Bidal, D.","Bidal, Denise"
"Bidal, Denise","Bidal, Denise"
"Bieler, Saskia","Bieler, Saskia"
"Bigonnet, Jean-Pierre","Bigonnet, Jean-Pierre"
"Bigot, Pierre","Bigot, Pierre"
"Bill, C.","Bill, C."
"Bill, Erika","Bill, Erika"
"Billard, Anne","Billard, Anne"
"Billiard, Marie-José","Billiard, Marie-José"
"Binet, J.","Binet, Jean"
"Bingen, Hildegard",Hildegard von Bingen
"Bingen, Hildegard von",Hildegard von Bingen
"Binggeli, Alain","Binggeli, Alain"
"Birgisson, Snorri Sigfus","Birgisson, Snorri Sigfus"
"Birkenstock, J. A.","Birkenstock, Johann Adam"
"Birnstingl, Roger","Birnstingl, Roger"
"Bischoff, J.","Bischoff, Justin"
"Bischoff,Justin","Bischoff, Justin"
"Bise, Juliette","Bise, Juliette"
Bitsch,"Bitsch, Marcel"
"Bitsch, M.","Bitsch, Marcel"
"Bitsch, Marcel","Bitsch, Marcel"
Bizet,"Bizet, Georges"
"Bizet, G.","Bizet, Georges"
"Bizet, Georges","Bizet, Georges"
"Blacart, Jacqueline","Blacart, Jacqueline"
"Blacher, Boris","Blacher, Boris"
"Blake, J.","Blake, James"
"Blanc, Marcelle","Blanc, Marcelle"
Blancard,"Blancard, Jacqueline"
"Blancard, Jacqueline","Blancard, Jacqueline"
Blanchet,"Blanchet, Emile-Robert"
"Blanchet, E. R.","Blanchet, Emile-Robert"
"Blanchet, E.-R.","Blanchet, Emile-Robert"
"Blanchet, E.R.","Blanchet, Emile-Robert"
"Blanchet, Emile-Robert","Blanchet, Emile-Robert"
"Blank, Heide","Blank, Heide"
"Blank, William","Blank, William"
"Blaser, Florent","Blaser, Florent"
"Blaser, P.-A.","Blaser, Pierre-André"
"Blaser, Pierre-André","Blaser, Pierre-André"
"Blatter, Marie-Isabelle","Blatter, Marie-Isabelle"
Blavet,"Blavet, Michel"
"Blavet, Michel","Blavet, Michel"
"Bliss, A.","Bliss, Arthur"
Bloch,"Bloch, Ernest"
"Bloch, E","Bloch, Ernest"
"Bloch, E.","Bloch, Ernest"
"Bloch, Ernest","Bloch, Ernest"
"Bloch, Gérald","Bloch, Gérald"
"Blum, Erna","Blum, Erna"
"Blumenthal, Daniel","Blumenthal, Daniel"
"Blumer, Fritz","Blumer, Fritz"
"Bobo, R.","Bobo, Roger"
"Bobo, Roger","Bobo, Roger"
Boccherini,"Boccherini, Luigi"
"Boccherini, Luigi","Boccherini, Luigi"
"Bock, J.","Bock, Jerry"
"Bodeux, Robert","Bodeux, Robert"
Boehler,Boehler
Boerchtold-Hertig,Boerchtold-Hertig
"Boesch, Rainer","Boesch, Rainer"
Bohm,"Bohm, Carl"
"Bohm, Carl","Bohm, Carl"
Boieldieu,"Boieldieu, François Adrien"
"Boillet, Pierre-Alain","Boillet, Pierre-Alain"
Boismortier,"Boismortier, Joseph Bodin de"
"Boismortier, B. de","Boismortier, Joseph Bodin de"
"Boismortier, Bodin de","Boismortier, Joseph Bodin de"
"Boismortier, J.-B.","Boismortier, Joseph Bodin de"
"Boismortier, Joseph Bodin de","Boismortier, Joseph Bodin de"
"Boizard, Gilles","Boizard, Gilles"
"Bollen, Renée","Bollen, Renée"
"Boller, Carlo","Boller, Carlo"
"Bolliger, Th.","Bolliger, Thomas"
"Bolliger, Thomas","Bolliger, Thomas"
Bombardes,Bombardes
"Bonanomi, Marc-Antoine","Bonanomi, Marc-Antoine"
"Bonis, Mel","Bonis, Mélanie"
"Bonjean, Jeannine","Bonjean, Jeannine"
"Bonnard, Valérie","Bonnard, Valérie"
"Bonneau, Paul","Bonneau, Paul"
"Bonstein, Aviva","Bonstein, Aviva"
"Bontemps, Jacqueline","Bontemps, Jacqueline"
"Bontems, Jacqueline","Bontemps, Jacqueline"
Bonucci,Bonucci
"Borel, S.","Borel, Stéphane"
"Borel, Stéphane","Borel, Stéphane"
"Borgeaud, Georges","Borgeaud, Georges"
"Borgeaud, Madeleine","Borgeaud, Madeleine"
"Borges, Raul","Borges, Raùl"
"Borghi, Luigi","Borghi, Luigi"
Borkievitch,"Bortkiewicz, Sergueï"
"Borner, Klaus","Borner, Klaus"
"Borodin, Alexander","Borodin, Aleksandr Porfir'yevich"
Borodine,"Borodin, Aleksandr Porfir'yevich"
"Borodine, A.","Borodin, Aleksandr Porfir'yevich"
"Borodine, Alexander","Borodin, Aleksandr Porfir'yevich"
"Borodine, Alexandre","Borodin, Aleksandr Porfir'yevich"
Bortkiewich,"Bortkiewicz, Sergueï"
Bortkiewicz,"Bortkiewicz, Sergueï"
Bosch y Pagès,Bosch y Pagès
"Boschi, Hélène","Boschi, Hélène"
"Bosset, G.-F.","Bosset, G.-F."
"Bosset, Sarah","Bosset, Sarah"
"Bosshart, Verena","Bosshart, Verena"
"Bottesini, Giovanni","Bottesini, Giovanni"
"Boucourechliev, André","Boucourechliev, André"
"Boudot, Fabien","Boudot, Fabien"
"Bouffil, Jacques","Bouffil, Jacques"
"Bouffil, Paul","Bouffil, Paul"
"Bougamont, Sidonie","Bougamont, Sidonie"
"Bougnol, Laetitia","Bougnol, Laetitia"
"Boulanger, Lili","Boulanger, Lili"
"Boulanger, Lily","Boulanger, Lili"
"Boulanger, Nadja","Boulanger, Nadia"
"Boulenaz, Pierre","Boulénaz, Pierre"
"Boulenaz, Suzanne","Boulénaz, Suzanne"
"Boulenaz-Du Pasquier, Suzanne","Boulénaz, Suzanne"
"Boulénaz, Pierre","Boulénaz, Pierre"
"Bouquet, Michel","Bouquet, Michel"
Bourgault-Ducoudray,"Bourgault-Ducoudray, Louis-Albert"
"Bourgault-Ducoudray, L.-A.","Bourgault-Ducoudray, Louis-Albert"
"Bourguignon, Fr. de","Bourguignon, Francis de"
"Bourgès-Maunoury, Jacqueline","Bourgès-Maunoury, Jacqueline"
"Bourquin, Magali","Bourquin, Magali"
"Bovard, Jean-François","Bovard, Jean-François"
"Bovet, Joseph","Bovet, Joseph"
"Bovy-Lysberg, Charles Samuel","Bovy-Lysberg, Charles Samuel"
"Boy de la Tour, Marie-Louise","Boy de la Tour, Marie-Louise"
"Boyvin, Jacques","Boyvin, Jacques"
Bozza,"Bozza, Eugène"
"Bozza, Eugène","Bozza, Eugène"
"Brachovanova-Stantcheva, Lada","Brachovanova-Stantcheva, Lada"
Brahms,"Brahms, Johannes"
"Brahms, J.","Brahms, Johannes"
"Brahms, Joh.","Brahms, Johannes"
"Brahms, Johannes","Brahms, Johannes"
"Brahms,cmp","Brahms, Johannes"
"Braillard-Gschwend, Irène","Braillard-Gschwend, Irène"
"Branga, Roger","Branga, Roger"
Breitner,Breitner
"Brentano, Bettina","Brentano, Bettina"
"Bresgen, Cesar","Bresgen, Cesar"
Breval,"Bréval, Jean-Baptiste Sébastien"
"Bridel, Yves","Bridel, Yves"
Britten,"Britten, Benjamin"
"Britten, B.","Britten, Benjamin"
"Britten, Benjamin","Britten, Benjamin"
"Bronchti, Ouri","Bronchti, Ouri"
Brouwer,"Brouwer, Leo"
"Brouwer, L.","Brouwer, Leo"
"Browers, Ch.","Browers, Ch."
"Brownlee, Robert","Brownlee, Robert"
"Bruch, M.","Bruch, Max"
"Bruch, Max","Bruch, Max"
"Bruchez, David","Bruchez, David"
"Bruderer, Anne-Marie","Bruderer, Anne-Marie"
"Bruna, Pablo","Bruna, Pablo"
"Brunel, Pierre","Brunel, Pierre"
"Brunel, Vincent","Brunel, Vincent"
"Brunetière, Jérôme","Brunetière, Jérôme"
"Brunhoff, Jean de","Brunhoff, Jean de"
"Brunisholz, Eva","Brunisholz, Eva"
"Brzezinska-Maurer, Joanna","Brzezinska-Maurer, Joanna"
"Bréguet, May","Bréguet, May"
Bréval,"Bréval, Jean-Baptiste Sébastien"
"Bréval, J.B.","Bréval, Jean-Baptiste Sébastien"
"Buache, Freddy","Buache, Freddy"
"Buclin, Lucas","Buclin, Lucas"
"Budry, Stella","Budry, Stella"
"Budry, stella","Budry, Stella"
"Budry-Haug, Françoise","Budry-Haug, Françoise"
"Bugnon, Yves","Bugnon, Yves"
"Bull, J.","Bull, John"
"Bumcke, Gustav","Bumcke, Gustav"
Buonamici,"Buonamici, Giuseppe"
Buononcini,"Buononcini, Giovanni"
"Burg, Florence von","Burg, Florence von"
Burger,"Burger, Paul"
"Burger, Guy-Claude","Burger, Guy-Claude"
"Burger, P.","Burger, Paul"
"Burger, Paul","Burger, Paul"
"Burgksteiner, J.","Burgksteiner, Joseph"
Burgmuller,"Burgmüller, Friederich Johann Franz"
"Burgmuller, Norbert","Burgmuller, Norbert"
Burgmüller,"Burgmüller, Friederich Johann Franz"
Burgumuller,"Burgmüller, Friederich Johann Franz"
"Burkhalter, Brigitte","Burkhalter, Brigitte"
"Burkhard, Stéphanie","Burkhard, Stéphanie"
"Burri, Rosemarie","Burri, Rosemarie"
Busoni,"Busoni, Ferruccio"
"Busoni, Ferruccio","Busoni, Ferruccio"
"Busoni, Ferrucio","Busoni, Ferruccio"
"Buss, Howard J.","Buss, Howard J."
Busser,"Busser, Henri"
"Busser, Henri","Busser, Henri"
"Butariu, Dumitru","Butariu, Dumitru"
"Butor, Michel","Butor, Michel"
"Butter, Hélène","Butter, Hélène"
"Butz, Rainer","Butz, Rainer"
Buxtehude,"Buxtehude, Dietrich"
"Buxtehude, D.","Buxtehude, Dietrich"
"Buxtehude, Dietrich","Buxtehude, Dietrich"
"Buxtorf, Brigitte","Buxtorf, Brigitte"
"Byrd, W","Byrd, William"
"Byrd, W.","Byrd, William"
"Byrd, William","Byrd, William"
"Bächli, Thomas","Bächli, Thomas"
"Béran, Philippe","Béran, Philippe"
"Bériot, Ch. de","Bériot, Charles-Auguste de"
"Böhm, G.","Böhm, Georg"
"Böhm, Georg","Böhm, Georg"
"Börner, Klaus","Börner, Klaus"
"Bühler, Michel","Bühler, Michel"
"Bühler, Niklaus","Bühler, Niklaus"
"Bürki, Sylvain","Bürki, Sylvain"
"Cabezón, Antonio","Cabezón, Antonio de"
"Cacialli, Samuel","Cacialli, Samuel"
"Cage, J.","Cage, John"
"Cage, John","Cage, John"
"Caillon, Liliane","Caillon, Liliane"
Caix d'Hervelois,"Caix d'Herverlois, Louis de"
"Caix d'Herverlois, L.","Caix d'Herverlois, Louis de"
"Caldonazzi, Benjamin","Caldonazzi, Benjamin"
"Cambini, Giovanni Giuseppe","Cambini, Giuseppe Maria"
"Cambrun, Todd","Cambrun, Todd"
"Cambrun, Todd Richard","Cambrun, Todd"
Camerata de Fribourg,Camerata de Fribourg
Camerata de Lausanne,Camerata de Lausanne
"Camponovo, Enrico","Camponovo, Enrico"
Campra,"Campra, André"
"Campra, A.","Campra, André"
"Canteloube, J.","Canteloube, Joseph"
"Capezzali, Jean-Louis","Capezzali, Jean-Louis"
"Caplet, André","Caplet, André"
"Capra, Mirko","Capra, Mirko"
Capt,Capt
"Caramiello, G.","Caramiello, Giovanni"
"Carchiolo, Salvatore","Carchiolo, Salvatore"
"Cardinaud, Anne","Cardinaud, Anne"
"Cariage, Jean-Claude","Cariage, Jean-Claude"
Carissimi,"Carissimi, Giacomo"
"Carissimi, Giacomo","Carissimi, Giacomo"
"Carmigola, Giuliano","Carmigola, Giuliano"
"Carneiro, Diego","Carneiro, Diego"
"Carneiro, Marcio","Carneiro, Marcio"
"Carot, Véronique","Carrot, Véronique"
"Carrasco, Clément","Carrasco, Clément"
"Carron, Agnès","Carron, Agnès"
"Carron, Emmanuel","Carron, Emmanuel"
"Carrot, Véronique","Carrot, Véronique"
Carse,"Carse, Adam"
"Carse, A.","Carse, Adam"
"Carse, Adam","Carse, Adam"
"Cart, Marie","Cart, Marie"
"Cart, Philippe","Cart, Philippe"
"Carte, Atena","Carte, Atena"
Carter,"Carter, Eliott"
"Carter, Eliott","Carter, Eliott"
"Carter, Peter John","Carter, Peter John"
"Carulli, Ferdinando","Carulli, Ferdinando"
"Casale, Emanuele","Casale, Emanuele"
"Casals, Pablo","Casals, Pablo"
Casella,"Casella, Alfredo"
"Casella, Alfredo","Casella, Alfredo"
"Casellas, Carmen","Casellas, Carmen"
Cassado,"Cassado, Gaspar"
"Cassado, Gaspar","Cassado, Gaspar"
Cassagniaud,Cassagniaud
"Cassone, Gabriel","Cassone, Gabriel"
"Castaing, Thérèse","Castaing, Thérèse"
"Castello, Dario","Castello, Dario"
"Castellon, José-Daniel","Castellón, José-Daniel"
"Castellón, José-Daniel","Castellón, José-Daniel"
Castelnuovo-Tedesco,"Castelnuovo-Tedesco, Mario"
"Castelnuovo-Tedesco, Mario","Castelnuovo-Tedesco, Mario"
"Cathiard, Yvette","Cathiard, Yvette"
"Cattin, Miriam","Cattin, Miriam"
"Cavalli, Francesco","Cavalli, Francesco"
"Cavallin, Giorgia","Cavallin, Giorgia"
"Cavassini, Scarlet","Cavassini, Scarlet"
"Cavazzoni, Girolamo","Cavazzoni, Girolamo"
"Cavin, Laurent","Cavin, Laurent"
"Cellier, Alexandre","Cellier, Alexandre"
"Cellier, Catherine","Cellier, Catherine"
"Cellier, Marcel","Cellier, Marcel"
"Cerantola, Eric","Cerantola, Eric"
"Cermakova, Ludmila","Cermakova, Ludmila"
"Cervera, Marçal","Cervera, Marçal"
"Ceuninck, E. de","Ceuninck, Emile de"
"Cevey, Pierre","Cevey, Pierre"
"Cevey, Roger","Cevey, Roger"
"Chablovskaia, Margarita","Chablovskaia, Margarita"
"Chabloz, Olivier","Chabloz, Olivier"
"Chabot, Christian de","Chabot, Christian de"
